chat_id,chat_name,start_msg_id,end_msg_id,start_at,end_at,score,classification,message_count,excerpt
1126,🌳INTERNAL Santi Living🌳,40329,41683,2026-02-10 15:10:04,2026-02-12 14:38:29,47,candidate_purchase,17,"2026-02-10 15:10:04 CNzPq8wGIABIAZABAPABAg== karpet 2026-02-10 15:10:07 CN/Pq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Nah okee 2026-02-10 15:10:14 CObPq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Eh karpet 2026-02-10 15:10:15 COfPq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Iya 2026-02-10 15:10:20 COzPq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Yang karpet arab 2026-02-10 15:12:20 COTQq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Karpet kita hargai 50rb ya coba tak tanya ibuk 2026-02-10 15:13:36 CLDRq8wGIABIAZABAPABAg== udah tak jawab gini e tadiii Media/120363422057960855@g.us/3/f/3f51e7f2-d19d-4dad-b5a9-0b600fd8ed06.jpg 2026-02-12 09:50:39 CP//tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIAHAAQCqAgA= https://docs.google.com/spreadsheets/d/1ht990BAQ18k_ZQ2w5eoBRWRv3Tjm9DkgoUxL3TBe6Lk/edit?usp=sharing 2026-02-12 10:00:28 CM2EtcwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIAGqAgA= royal grand 100cm : 590.040 royal grand 160 : 869.417 bantal springback : 60.000 ini hpp nya mas 2026-02-12 10:31:22 CIqTtcwGIABIAZABAPABAg== *📄 INVOICE PEMESANAN* Sewa Kasur Santi Living by Santi Mebel Godean Nama : _(mohon diisi)_ Lokasi Pengiriman : _(mohon shareloct)_ Tanggal Kirim :Sabtu, 14 Feb 2026 (9 p..."
1126,🌳INTERNAL Santi Living🌳,40330,41684,2026-02-10 15:10:07,2026-02-12 14:38:33,47,candidate_purchase,17,"2026-02-10 15:10:07 CN/Pq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Nah okee 2026-02-10 15:10:14 CObPq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Eh karpet 2026-02-10 15:10:15 COfPq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Iya 2026-02-10 15:10:20 COzPq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Yang karpet arab 2026-02-10 15:12:20 COTQq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Karpet kita hargai 50rb ya coba tak tanya ibuk 2026-02-10 15:13:36 CLDRq8wGIABIAZABAPABAg== udah tak jawab gini e tadiii Media/120363422057960855@g.us/3/f/3f51e7f2-d19d-4dad-b5a9-0b600fd8ed06.jpg 2026-02-12 09:50:39 CP//tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIAHAAQCqAgA= https://docs.google.com/spreadsheets/d/1ht990BAQ18k_ZQ2w5eoBRWRv3Tjm9DkgoUxL3TBe6Lk/edit?usp=sharing 2026-02-12 10:00:28 CM2EtcwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIAGqAgA= royal grand 100cm : 590.040 royal grand 160 : 869.417 bantal springback : 60.000 ini hpp nya mas 2026-02-12 10:31:22 CIqTtcwGIABIAZABAPABAg== *📄 INVOICE PEMESANAN* Sewa Kasur Santi Living by Santi Mebel Godean Nama : _(mohon diisi)_ Lokasi Pengiriman : _(mohon shareloct)_ Tanggal Kirim :Sabtu, 14 Feb 2026 (9 pagi) Tanggal Kembali : Minggu, 15 Feb 2026 (7 pagi) ..."
1126,🌳INTERNAL Santi Living🌳,40332,41686,2026-02-10 15:10:15,2026-02-12 14:38:57,47,candidate_purchase,17,"2026-02-10 15:10:15 COfPq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Iya 2026-02-10 15:10:20 COzPq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Yang karpet arab 2026-02-10 15:12:20 COTQq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Karpet kita hargai 50rb ya coba tak tanya ibuk 2026-02-10 15:13:36 CLDRq8wGIABIAZABAPABAg== udah tak jawab gini e tadiii Media/120363422057960855@g.us/3/f/3f51e7f2-d19d-4dad-b5a9-0b600fd8ed06.jpg 2026-02-12 09:50:39 CP//tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIAHAAQCqAgA= https://docs.google.com/spreadsheets/d/1ht990BAQ18k_ZQ2w5eoBRWRv3Tjm9DkgoUxL3TBe6Lk/edit?usp=sharing 2026-02-12 10:00:28 CM2EtcwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIAGqAgA= royal grand 100cm : 590.040 royal grand 160 : 869.417 bantal springback : 60.000 ini hpp nya mas 2026-02-12 10:31:22 CIqTtcwGIABIAZABAPABAg== *📄 INVOICE PEMESANAN* Sewa Kasur Santi Living by Santi Mebel Godean Nama : _(mohon diisi)_ Lokasi Pengiriman : _(mohon shareloct)_ Tanggal Kirim :Sabtu, 14 Feb 2026 (9 pagi) Tanggal Kembali : Minggu, 15 Feb 2026 (7 pagi) *📦 Detail Pesanan (Paket)* - 4 pcs (single 100) × Rp40.000 = Rp160.000 - 2 pcs (queen 160) × Rp55.000 = Rp110.000 💰 Total Sewa : *Rp270.000* Ongkir *Rp50.000 - Rp20...."
1126,🌳INTERNAL Santi Living🌳,40333,41695,2026-02-10 15:10:20,2026-02-12 14:59:35,47,candidate_purchase,17,"2026-02-10 15:10:20 COzPq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Yang karpet arab 2026-02-10 15:12:20 COTQq8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAg== Karpet kita hargai 50rb ya coba tak tanya ibuk 2026-02-10 15:13:36 CLDRq8wGIABIAZABAPABAg== udah tak jawab gini e tadiii Media/120363422057960855@g.us/3/f/3f51e7f2-d19d-4dad-b5a9-0b600fd8ed06.jpg 2026-02-12 09:50:39 CP//tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIAHAAQCqAgA= https://docs.google.com/spreadsheets/d/1ht990BAQ18k_ZQ2w5eoBRWRv3Tjm9DkgoUxL3TBe6Lk/edit?usp=sharing 2026-02-12 10:00:28 CM2EtcwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIAGqAgA= royal grand 100cm : 590.040 royal grand 160 : 869.417 bantal springback : 60.000 ini hpp nya mas 2026-02-12 10:31:22 CIqTtcwGIABIAZABAPABAg== *📄 INVOICE PEMESANAN* Sewa Kasur Santi Living by Santi Mebel Godean Nama : _(mohon diisi)_ Lokasi Pengiriman : _(mohon shareloct)_ Tanggal Kirim :Sabtu, 14 Feb 2026 (9 pagi) Tanggal Kembali : Minggu, 15 Feb 2026 (7 pagi) *📦 Detail Pesanan (Paket)* - 4 pcs (single 100) × Rp40.000 = Rp160.000 - 2 pcs (queen 160) × Rp55.000 = Rp110.000 💰 Total Sewa : *Rp270.000* Ongkir *Rp50.000 - Rp20.000* = RP30.000 💳 Total Pembayaran : *Rp300.000* 2026-02-12 14:12:03 CMP6tcwG..."
735,Admin 2 Sales Santi Mebel,41369,41963,2026-02-12 09:31:58,2026-02-12 20:19:19,43,candidate_purchase,17,"2026-02-12 09:31:58 CJ73tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Halo mbak 2026-02-12 09:33:31 CPv3tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Aku mau ambil royal grand 100 4lbr , 160 2 lbr bisa, sama bantal elite 4lbr bisa? 2026-02-12 09:39:02 CMb6tMwGIABIAZABAPABAg== halo mas, tak tanya gudang dlu ya mas bantal elite nya 2026-02-12 09:39:19 CNf6tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Bantal backpack 2026-02-12 09:44:50 CKL9tMwGIABIAZABAPABAg== mksdnya bantal yg gimana mas? 2026-02-12 09:45:54 COL9tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Sori mbak, springback maksudku 2026-02-12 09:46:07 CO/9tMwGIABIAZABAPABAg== baikk, yg ini yaa mas Media/6285229092368@s.whatsapp.net/e/7/e7ff1dfb-7e72-44af-9779-21644bd79178.jpg 2026-02-12 09:46:24 CID+tMwGIABIAZABAPABAg== harga nya tak tanya mas fakhri dlu yaa mas 2026-02-12 09:47:59 COD+tMwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= untuk sewa kasur ya mbak 2026-02-12 09:48:21 CPX+tMwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= tolong cek kan harga hpp mbak 2026-02-12 09:54:17 CNmBtcwGIABIAZABAPABAg== baikk, sbentar mas 2026-02-12 09:56:33 COGCtcwGIABIAZABAPABAg== royal grand 100cm : 590.040 roya..."
735,Admin 2 Sales Santi Mebel,41403,42120,2026-02-12 09:39:19,2026-02-13 10:03:47,43,candidate_purchase,17,"2026-02-12 09:39:19 CNf6tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Bantal backpack 2026-02-12 09:44:50 CKL9tMwGIABIAZABAPABAg== mksdnya bantal yg gimana mas? 2026-02-12 09:45:54 COL9tMwGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Sori mbak, springback maksudku 2026-02-12 09:46:07 CO/9tMwGIABIAZABAPABAg== baikk, yg ini yaa mas Media/6285229092368@s.whatsapp.net/e/7/e7ff1dfb-7e72-44af-9779-21644bd79178.jpg 2026-02-12 09:46:24 CID+tMwGIABIAZABAPABAg== harga nya tak tanya mas fakhri dlu yaa mas 2026-02-12 09:47:59 COD+tMwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= untuk sewa kasur ya mbak 2026-02-12 09:48:21 CPX+tMwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= tolong cek kan harga hpp mbak 2026-02-12 09:54:17 CNmBtcwGIABIAZABAPABAg== baikk, sbentar mas 2026-02-12 09:56:33 COGCtcwGIABIAZABAPABAg== royal grand 100cm : 590.040 royal grand 160 : 869.417 bantal springback : 60.000 ini hpp nya mas 2026-02-12 10:00:09 CLmEtcwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= oke mbak nuwun 2026-02-12 10:01:51 CJ+FtcwGIABIAZABAPABAg== sama sama mas 2026-02-12 20:02:01 CMmet8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Mbak bantale 7 ya jadinya 2026-02-12 20:04:08..."
735,Admin 2 Sales Santi Mebel,41422,42310,2026-02-12 09:46:24,2026-02-13 14:44:48,43,candidate_purchase,17,"2026-02-12 09:46:24 CID+tMwGIABIAZABAPABAg== harga nya tak tanya mas fakhri dlu yaa mas 2026-02-12 09:47:59 COD+tMwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= untuk sewa kasur ya mbak 2026-02-12 09:48:21 CPX+tMwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= tolong cek kan harga hpp mbak 2026-02-12 09:54:17 CNmBtcwGIABIAZABAPABAg== baikk, sbentar mas 2026-02-12 09:56:33 COGCtcwGIABIAZABAPABAg== royal grand 100cm : 590.040 royal grand 160 : 869.417 bantal springback : 60.000 ini hpp nya mas 2026-02-12 10:00:09 CLmEtcwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= oke mbak nuwun 2026-02-12 10:01:51 CJ+FtcwGIABIAZABAPABAg== sama sama mas 2026-02-12 20:02:01 CMmet8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Mbak bantale 7 ya jadinya 2026-02-12 20:04:08 CMift8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== *Pesanan Dhoni* - Bantal springback 7pcs - ⁠Royal grand 100cm 4lbr - ⁠Royal grand 160cm 2lbr Tolong ditotal ya mbak. Sama besok siang, org display bisa ambil dimana? 2026-02-12 20:19:19 CNemt8wGIABIAZABAPABAg== ini mau dibuatkan nota mas? 2026-02-12 21:20:18 CKLDt8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Iya mbak sales order 2026-02-13 08:22:49 COn5ucwG..."
735,Admin 2 Sales Santi Mebel,41423,42318,2026-02-12 09:47:59,2026-02-13 14:45:44,43,candidate_purchase,17,"2026-02-12 09:47:59 COD+tMwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= untuk sewa kasur ya mbak 2026-02-12 09:48:21 CPX+tMwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= tolong cek kan harga hpp mbak 2026-02-12 09:54:17 CNmBtcwGIABIAZABAPABAg== baikk, sbentar mas 2026-02-12 09:56:33 COGCtcwGIABIAZABAPABAg== royal grand 100cm : 590.040 royal grand 160 : 869.417 bantal springback : 60.000 ini hpp nya mas 2026-02-12 10:00:09 CLmEtcwGGhw2Mjg1MTU4ODU4MzEwQHMud2hhdHNhcHAubmV0IAHAAQCqAgA= oke mbak nuwun 2026-02-12 10:01:51 CJ+FtcwGIABIAZABAPABAg== sama sama mas 2026-02-12 20:02:01 CMmet8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Mbak bantale 7 ya jadinya 2026-02-12 20:04:08 CMift8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== *Pesanan Dhoni* - Bantal springback 7pcs - ⁠Royal grand 100cm 4lbr - ⁠Royal grand 160cm 2lbr Tolong ditotal ya mbak. Sama besok siang, org display bisa ambil dimana? 2026-02-12 20:19:19 CNemt8wGIABIAZABAPABAg== ini mau dibuatkan nota mas? 2026-02-12 21:20:18 CKLDt8wGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAQ== Iya mbak sales order 2026-02-13 08:22:49 COn5ucwGIABIAJABAPABAQ== baik mas 2026-02-13 10:03:47 CJOpuswGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZ..."
735,Admin 2 Sales Santi Mebel,126864,127220,2026-05-20 16:29:49,2026-05-21 08:21:54,43,candidate_purchase,25,"2026-05-20 16:29:49 CI3+tdAGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAtgC77On/8bHlAM= Sore mbak 2026-05-20 16:30:28 CLT+tdAGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAtgC9qmTksfHlAM= Ada yg mau beli ini boleh tolong di list kan harganya? Dan nota 2026-05-20 16:30:44 CMT+tdAGGhMyNDE1MTQ3ODU1NTA1NDNAbGlkIABIAZABAPABAtgCx8TUmcfHlAM= Peralatan : 1. Tempat tidur tingkat : 7 unit 2. ⁠Lemari baju : 7 unit 3. ⁠Loker kabinet : 2 unit 4. ⁠Jemuran baju : 6 unit 5. ⁠Kasur busa 90cm: 6 lembar 2026-05-20 17:16:53 CJWUttAGIABIAJABAPABAtgCh9eDwtHHlAM= hallo kak ,perkenalkan saya admin liana :) ll 2026-05-20 17:17:06 CKKUttAGIABIAJABAPABAtgC9tSnyNHHlAM= kami kirim katalognya ya kak :) ll 2026-05-20 17:18:07 CN+UttAGIABIAJABAPABAtgCoviL5dHHlAM= https://furniturejogja.com/product/divan-tingkat-divan-susun-besi-grey-90-x-200/ divan tingkat uk 90 harga 1.499 furniturejogja.com 2026-05-20 17:18:21 CO2UttAGIABIAJABAPABAtgC0rHg69HHlAM= https://furniturejogja.com/product-category/divan-sandaran/ Hai kak, utk katalog divan dan sandaran bisa klik link diatas ya kak ☺️ 2026-05-20 17:19:48 CMSVttAGIABIAJABAPABAtgCs7zKldLHlAM= https://furniturejogja.com/product/filing-cabinet-4-laci-besi-sc-d4a/ filing cabinet ha..."
735,Admin 2 Sales Santi Mebel,126905,129205,2026-05-20 17:21:29,2026-05-22 18:09:12,43,candidate_purchase,17,"2026-05-20 17:21:29 CKmWttAGIABIAJABAPABAtgC/7bAxdLHlAM= https://furniturejogja.com/product/jemuran-dinding/ jemuran baju dinding harga 300 furniturejogja.com 2026-05-20 17:22:14 CNaWttAGIABIAJABAPABAtgChb/u2tLHlAM= https://furniturejogja.com/product/kasur-busa-tebal-14cm-ukuran-120-x-200-garansi-5-tahun/ djitu uk 90 harga 497.000 furniturejogja.com 2026-05-20 17:22:44 CPSWttAGIABIAJABAPABAtgC66qv6dLHlAM= https://furniturejogja.com/product/kasur-busa-rebounded-lotus-tebal-18-cm-90x200-garansi-5th/ lotus harga 595.000 furniturejogja.com 2026-05-20 17:23:28 CKCXttAGIABIAJABAPABAtgCwe2z/tLHlAM= https://furniturejogja.com/product/kasur-busa-central-dangdut-s-tebal-20-garansi-10th-katun/ central dangsut uk 90 harga 701.000 Kasur Busa Central Dangdut S Tebal 19 Garansi 10th Katun 2026-05-20 17:23:35 CKeXttAGIABIAJABAPABAtgCgMDEgdPHlAM= https://furniturejogja.com/product-category/kasur-busa-kasur-lipat/ Hai kak, utk kasur busa bisa klik link diatas ya kak ☺️ furniturejogja.com 2026-05-20 17:24:03 CMOXttAGIABIAJABAPABAtgCrcT+jtPHlAM= boleh diinfokan kak untuk lemari cari dibahan apa ya kak ? :) ll 2026-05-20 17:24:10 CMqXttAGIABIAJABAPABAtgCvrCmktPHlAM= Hai kak , pemesanan bisa juga via o..."
